Steppingstone sampler:
        No Stones:                  100
        Start It:                   80000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-16.513896	-16.513896
1	0.950747	7500	-16.330961	-32.844857
2	0.926679	7500	-16.055469	-48.900326
3	0.902980	7500	-15.837187	-64.737513
4	0.879648	7500	-15.593078	-80.330591
5	0.856682	7500	-15.321426	-95.652017
6	0.834079	7500	-15.123845	-110.775862
7	0.811838	7500	-14.867669	-125.643532
8	0.789957	7500	-14.667571	-140.311103
9	0.768433	7500	-14.468205	-154.779308
10	0.747266	7500	-14.191236	-168.970544
11	0.726452	7500	-13.922597	-182.893141
12	0.705989	7500	-13.667945	-196.561086
13	0.685877	7500	-13.437554	-209.998640
14	0.666112	7500	-13.273036	-223.271676
15	0.646693	7500	-13.080860	-236.352536
16	0.627618	7500	-12.859317	-249.211853
17	0.608884	7500	-12.665255	-261.877108
18	0.590490	7500	-12.367166	-274.244274
19	0.572433	7500	-12.171061	-286.415335
20	0.554712	7500	-11.935109	-298.350444
21	0.537324	7500	-11.747765	-310.098209
22	0.520268	7500	-11.500817	-321.599026
23	0.503540	7500	-11.363210	-332.962235
24	0.487139	7500	-11.083526	-344.045761
25	0.471063	7500	-11.256457	-355.302218
26	0.455310	7500	-10.962798	-366.265016
27	0.439877	7500	-10.487825	-376.752841
28	0.424762	7500	-10.623654	-387.376495
29	0.409963	7500	-10.380279	-397.756774
30	0.395478	7500	-10.170192	-407.926966
31	0.381305	7500	-9.996702	-417.923667
32	0.367440	7500	-9.717884	-427.641551
33	0.353883	7500	-9.584086	-437.225637
34	0.340630	7500	-9.537677	-446.763315
35	0.327680	7500	-9.352356	-456.115671
36	0.315030	7500	-8.888988	-465.004659
37	0.302677	7500	-8.733767	-473.738426
38	0.290619	7500	-8.644823	-482.383249
39	0.278855	7500	-8.445838	-490.829087
40	0.267381	7500	-8.116371	-498.945458
41	0.256195	7500	-8.057442	-507.002900
42	0.245294	7500	-7.720719	-514.723618
43	0.234677	7500	-7.494602	-522.218221
44	0.224340	7500	-7.360343	-529.578564
45	0.214281	7500	-7.095862	-536.674426
46	0.204498	7500	-6.956557	-543.630983
47	0.194988	7500	-6.753851	-550.384834
48	0.185749	7500	-6.685874	-557.070707
49	0.176777	7500	-7.207802	-564.278510
50	0.168070	7500	-6.902128	-571.180637
51	0.159626	7500	-6.688586	-577.869223
52	0.151441	7500	-6.518124	-584.387347
53	0.143514	7500	-6.382157	-590.769504
54	0.135841	7500	-6.135747	-596.905251
55	0.128420	7500	-6.004923	-602.910174
56	0.121247	7500	-5.748994	-608.659168
57	0.114320	7500	-5.738928	-614.398095
58	0.107637	7500	-5.414309	-619.812404
59	0.101193	7500	-5.138668	-624.951072
60	0.094986	7500	-5.149739	-630.100812
61	0.089014	7500	-4.935559	-635.036371
62	0.083273	7500	-4.742680	-639.779051
63	0.077760	7500	-4.495808	-644.274859
64	0.072472	7500	-4.417592	-648.692451
65	0.067406	7500	-4.232711	-652.925162
66	0.062558	7500	-4.034230	-656.959392
67	0.057926	7500	-3.889486	-660.848878
68	0.053506	7500	-3.674793	-664.523671
69	0.049295	7500	-3.569614	-668.093286
70	0.045289	7500	-3.368945	-671.462231
71	0.041485	7500	-3.152192	-674.614423
72	0.037880	7500	-3.112208	-677.726630
73	0.034469	7500	-2.903184	-680.629814
74	0.031250	7500	-2.781384	-683.411199
75	0.028218	7500	-2.716293	-686.127492
76	0.025370	7500	-2.494799	-688.622290
77	0.022702	7500	-2.404452	-691.026742
78	0.020209	7500	-2.231330	-693.258073
79	0.017889	7500	-2.148443	-695.406516
80	0.015736	7500	-1.970763	-697.377279
81	0.013746	7500	-1.796923	-699.174203
82	0.011916	7500	-1.856325	-701.030527
83	0.010240	7500	-1.636498	-702.667025
84	0.008714	7500	-1.457073	-704.124098
85	0.007334	7500	-1.653520	-705.777618
86	0.006093	7500	-1.369316	-707.146934
87	0.004988	7500	-1.385806	-708.532740
88	0.004013	7500	-1.225868	-709.758608
89	0.003162	7500	-1.188111	-710.946719
90	0.002430	7500	-1.279253	-712.225973
91	0.001810	7500	-1.169436	-713.395409
92	0.001296	7500	-1.769183	-715.164592
93	0.000882	7500	-1.345988	-716.510580
94	0.000559	7500	-2.021866	-718.532446
95	0.000320	7500	-1.647600	-720.180046
96	0.000156	7500	-1.251436	-721.431481
97	0.000057	7500	-1.005782	-722.437263
98	0.000010	7500	-0.467868	-722.905131
99	0.000000	7500	-0.464372	-723.369503
Log marginal likelihood:	-723.369503
